YEAR;MO;DY;ALLSKY_SFC_SW_DIFF;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;ALLSKY_SFC_SW_DNI;ALLSKY_KT;ALLSKY_SFC_LW_DWN;T2MDEW;T2MWET;TS;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_MAX;WS50M;ALLSKY_SFC_UV_INDEX;ALLSKY_SFC_PAR_TOT
2015;5;14;19.298;28.399;69.876;0.4454;0.3;79.968;14.42;15.37;16.71;12.29;89.21;17.59;83.94;1.5;1.86;2.77;1.4;13.166
2015;5;15;2.034;32.153;67.558;11.254;0.34;78.346;14.62;15.61;17.0;12.46;88.86;1.43;83.91;1.43;1.97;2.8;1.45;14.674
2015;5;16;20.201;39.199;70.006;2.107;0.41;75.017;14.39;15.55;17.22;12.29;86.91;5.72;83.97;1.37;2.11;2.46;1.86;17.642
2015;5;17;1.991;34.274;69.972;13.306;0.36;7.59;15.03;15.81;17.07;12.8;91.25;28.59;84.09;1.68;2.66;3.09;1.62;15.684
2015;5;18;19.066;36.178;71.419;20.227;0.38;74.179;14.45;15.48;17.17;12.29;88.66;4.34;84.16;1.17;1.82;2.15;1.7;16.327
2015;5;19;22.229;43.294;6.594;2.363;0.46;77.563;13.62;15.26;17.55;11.67;82.13;0.18;84.06;1.56;2.07;2.89;1.87;19.855
2015;5;20;21.218;38.986;69.197;18.019;0.41;79.303;13.62;15.37;17.73;11.71;81.25;6.05;84.02;1.46;2.28;2.35;1.87;17.597
2015;5;21;19.315;31.874;6.786;0.8981;0.34;78.816;13.92;15.15;16.92;11.88;86.58;9.81;84.07;1.09;1.86;2.14;1.52;14.513
2015;5;22;22.229;47.798;68.393;32.309;0.51;77.515;13.26;15.23;17.83;11.43;79.48;3.13;84.05;1.47;2.09;2.99;2.12;21.566
2015;5;23;18.406;27.614;67.994;0.3566;0.3;78.842;14.4;15.25;16.53;12.3;90.27;24.47;84.06;1.56;2.13;3.11;1.39;12.679
2015;5;24;21.991;49.202;67.963;36.898;0.53;73.531;14.22;15.76;17.85;12.19;83.49;1.53;83.94;1.6;2.21;2.85;2.04;22.154
2015;5;25;18.026;26.926;67.661;0.4884;0.29;76.879;15.31;16.57;18.19;13.06;86.23;4.13;83.93;1.38;2.27;2.31;1.26;12.298
2015;5;26;18.794;33.648;66.665;1.537;0.36;77.736;14.84;15.64;16.9;12.63;91.12;9.67;83.97;1.22;1.65;2.42;1.43;15.312
2015;5;27;21.665;41.261;66.854;2.394;0.44;76.488;14.4;15.76;17.66;12.32;85.01;6.52;83.89;1.41;1.9;2.86;1.79;18.485
2015;5;28;19.272;26.587;65.954;0.4994;0.29;76.812;14.79;15.73;17.12;12.63;89.48;14.74;83.9;1.4;2.11;2.61;1.21;12.211
2015;5;29;18.406;30.547;6.455;0.9132;0.33;77.431;14.38;15.92;18.05;12.28;83.76;3.3;83.88;1.2;1.87;2.32;1.32;13.771
2015;5;30;21.965;38.741;63.929;16.385;0.42;78.506;14.77;16.07;17.63;12.62;85.96;6.66;83.82;1.36;2.15;2.28;1.58;17.311
2015;5;31;17.647;29.179;64.236;0.9432;0.32;78.833;14.41;15.49;17.0;12.3;87.74;5.81;83.92;1.43;1.76;2.83;1.29;13.327
2015;6;1;18.398;33.168;68.146;18.024;0.36;73.697;14.67;15.88;17.78;12.51;86.89;1.31;83.98;1.65;2.13;2.88;1.5;14.911
2015;6;2;19.246;40.382;6.738;27.835;0.44;76.354;11.73;14.06;16.87;10.35;75.18;0.31;83.98;1.98;2.56;3.72;1.78;18.146
2015;6;3;17.014;27.881;66.557;0.8047;0.3;76.344;12.18;14.15;16.75;10.63;78.65;7.33;83.99;1.7;2.45;3.03;1.32;12.614
2015;6;4;16.956;27.276;64.558;0.9355;0.3;80.842;12.94;14.24;16.18;11.14;85.6;7.85;84.09;1.62;2.28;2.97;1.31;12.677
2015;6;5;16.639;23.026;64.354;0.5045;0.25;77.321;11.73;13.61;16.18;10.3;80.04;12.38;84.11;1.69;2.79;3.1;1.09;1.061
2015;6;6;17.945;34.543;66.355;2.016;0.38;77.479;12.35;14.44;17.19;10.78;77.64;6.4;83.95;1.52;2.66;2.82;1.59;15.602
2015;6;7;19.147;32.016;64.102;11.808;0.35;7.968;12.85;14.38;16.36;11.17;82.94;8.34;83.97;1.42;2.11;2.75;1.36;14.328
2015;6;8;19.826;2.766;62.462;0.2998;0.3;76.706;13.91;15.0;16.56;11.89;87.87;7.97;84.0;1.49;2.14;2.88;1.2;12.612
2015;6;9;20.911;3.659;63.504;16.015;0.4;77.633;13.94;15.31;17.09;12.0;85.4;6.81;83.9;1.56;2.31;2.64;1.51;16.562
